Rank;Símbolo;Nome;Preço;Valor de Mercado;Variação 24h;Volume 24h
1;BTC;Bitcoin;111.198;2.214.836.415.680;0.1;45.129.647.854
2;ETH;Ethereum;4.290,58;517.879.311.217;0.1;29.154.814.989
3;XRP;XRP;2,95;175.770.723.459;0.7;5.699.979.678
4;USDT;Tether;1,00;168.939.060.996;0.0;95.339.068.604
5;BNB;BNB;875,15;121.806.780.909;0.2;1.015.532.764
6;SOL;Solana;215,85;116.992.567.920;0.2;8.827.532.397
7;USDC;USDC;0,9999;72.658.607.519;0.0;9.682.671.555
8;STETH;Lido Staked Ether;4.282,52;37.115.998.379;0.1;75.775.148
9;DOGE;Dogecoin;0,2409;36.314.713.674;0.4;4.164.793.764
10;TRX;TRON;0,3342;31.650.289.404;0.1;869.359.509
